Product Name,Current Price,Original Price,Rating
ASIAN,₹764,"₹1,499",3.6 out of 5 stars
BRUTON,₹433,"₹2,499",3.7 out of 5 stars
Campus,₹649,₹999,4.1 out of 5 stars
ASIAN,₹599,₹999,4.0 out of 5 stars
Bata,₹709,₹999,3.6 out of 5 stars
ASIAN,₹644,"₹1,499",3.7 out of 5 stars
Skechers,"₹5,563","₹6,999",No rating
Generic,₹250,"₹1,499",4.2 out of 5 stars
Fitness Mantra,₹199,₹16.58,4.0 out of 5 stars
SPARX,₹664,₹999,4.2 out of 5 stars
SPARX,₹751,"₹1,099",4.1 out of 5 stars
Generic,₹269,"₹1,499",2.5 out of 5 stars
BRUTON,₹471,"₹2,499",3.6 out of 5 stars
Reebok,"₹1,499","₹1,899",3.9 out of 5 stars
Campus,"₹1,099","₹2,499",4.3 out of 5 stars
Campus,₹999,"₹1,899",4.0 out of 5 stars
Generic,₹452.20,₹999,3.9 out of 5 stars
PUMA,"₹1,799","₹5,999",4.6 out of 5 stars
Bata,"₹1,390","₹1,799",3.9 out of 5 stars
Campus,₹746,₹899,4.2 out of 5 stars
Nivia,₹999,No original price,4.0 out of 5 stars
SPARX,"₹1,298","₹1,649",4.0 out of 5 stars
Skechers,"₹2,699","₹4,499",3.8 out of 5 stars
ASIAN,"₹1,074","₹2,499",3.8 out of 5 stars
BRUTON,₹458,"₹2,499",3.6 out of 5 stars
LANCER,₹565,"₹1,249",3.6 out of 5 stars
BRUTON,₹299,"₹1,299",3.1 out of 5 stars
Nike,"₹3,350","₹4,295",5.0 out of 5 stars
Nike,"₹5,818","₹7,095",3.9 out of 5 stars
Campus,"₹1,103","₹2,299",3.9 out of 5 stars
Campus,"₹1,199","₹1,399",4.0 out of 5 stars
Campus,"₹1,349","₹2,699",4.2 out of 5 stars
U.S. POLO ASSN.,"₹2,339","₹3,599",4.2 out of 5 stars
Reebok,₹914,"₹2,299",4.0 out of 5 stars
Skechers,"₹4,249","₹8,499",4.2 out of 5 stars
Campus,"₹1,434","₹3,499",4.5 out of 5 stars
SPARX,"₹1,067.29","₹1,399",3.9 out of 5 stars
Generic,₹269,"₹1,499",3.5 out of 5 stars
BRUTON,₹467,"₹2,499",4.8 out of 5 stars
Campus,₹794,"₹1,499",4.3 out of 5 stars
SPARX,₹825,"₹1,099",4.2 out of 5 stars
DOCTOR EXTRA SOFT,₹999,"₹5,999",4.3 out of 5 stars
U.S. POLO ASSN.,"₹2,877","₹4,799",3.9 out of 5 stars
HEALTH SAFE,₹699,"₹1,500",2.5 out of 5 stars
SPARX,₹822,"₹1,099",4.0 out of 5 stars
BRUTON,₹472,"₹2,499",3.2 out of 5 stars
PUMA,"₹1,599","₹2,499",4.0 out of 5 stars
Nike,"₹3,350","₹4,295",3.9 out of 5 stars
